customer_id,company_name,industry,signup_date,country,employee_count,status
1,Kramer-Manning,EdTech,2025-04-25,Puerto Rico,500,active
2,Garcia-Adams,EdTech,2025-08-18,Ukraine,20,inactive
3,Schaefer-Taylor,E-commerce,2025-12-06,Saudi Arabia,500,active
4,Suarez-Walker,Fintech,2024-05-22,United States Virgin Islands,20,active
5,Gonzalez Group,E-commerce,2025-06-19,Tokelau,250,active
6,"Tran, Hayes and Hernandez",Healthtech,2024-07-21,French Guiana,100,inactive
7,Lang LLC,SaaS,2024-06-26,Togo,20,active
8,Anderson-Mccarty,SaaS,2025-08-07,India,100,active
9,"Adams, Flores and Mccarthy",E-commerce,2024-06-28,Bolivia,5,active
10,Mason-Cox,SaaS,2025-11-23,Benin,100,active
11,White Group,Healthtech,2025-08-19,Guadeloupe,500,active
12,Dixon-Wyatt,E-commerce,2025-06-09,El Salvador,250,inactive
13,Gonzalez-Barton,Healthtech,2024-04-17,Christmas Island,20,active
14,Gregory-Wilson,Fintech,2024-07-23,Greenland,500,active
15,Guzman-Reed,EdTech,2024-09-17,Cook Islands,20,inactive
16,James-Carter,EdTech,2025-03-29,Australia,250,active
17,Oneal PLC,SaaS,2025-04-11,Netherlands,500,active
18,Taylor Group,SaaS,2024-09-15,Slovakia (Slovak Republic),20,active
19,"Collins, Fisher and Martin",E-commerce,2025-12-01,United States Virgin Islands,250,active
20,"Barnett, Haynes and Robertson",EdTech,2026-02-08,Italy,20,active
21,Moses-Martinez,Healthtech,2024-12-27,Marshall Islands,250,active
22,"Hutchinson, Quinn and Richardson",EdTech,2024-09-11,Myanmar,50,active
23,"Vazquez, Griffin and James",SaaS,2024-09-26,Israel,10,inactive
24,"Haas, Walls and Scott",EdTech,2025-06-13,Montenegro,50,active
25,"Reyes, Ho and Payne",Healthtech,2025-12-09,Chile,10,active
26,Salazar Group,SaaS,2024-03-05,Ecuador,100,active
27,Patel LLC,EdTech,2025-06-17,Luxembourg,250,active
28,Smith-Ramirez,Fintech,2024-08-21,Mali,20,active
29,"Gaines, Serrano and Garcia",Fintech,2025-04-08,Swaziland,100,active
30,Carter LLC,SaaS,2025-12-14,Mongolia,20,active
31,Hayes Group,E-commerce,2024-07-08,France,5,active
